Omega, R, OmegaR, RoverD
0.004, 13.1378, 0.0525513, 6.64594
0.008, 13.1379, 0.105103, 6.64688
0.012, 13.1442, 0.15773, 6.64963
0.016, 13.1442, 0.210307, 6.65329
0.02, 13.1432, 0.262864, 6.65642
0.024, 13.1493, 0.315583, 6.66324
0.028, 13.1455, 0.368073, 6.66516
0.032, 13.153, 0.420896, 6.67316
0.036, 13.1558, 0.47361, 6.67947
0.04, 13.1565, 0.526261, 6.68767
0.044, 13.164, 0.579215, 6.69603
0.048, 13.1707, 0.632192, 6.70828
0.052, 13.1648, 0.684568, 6.71334
0.056, 13.173, 0.73769, 6.7255
0.06, 13.1797, 0.790782, 6.73648
0.064, 13.1843, 0.843796, 6.74698
0.068, 13.1853, 0.896602, 6.7595
0.072, 13.1844, 0.949276, 6.77135
0.076, 13.1934, 1.0027, 6.78606
0.08, 13.1918, 1.05535, 6.79862
0.084, 13.1973, 1.10857, 6.814
0.088, 13.2007, 1.16166, 6.829
0.092, 13.1895, 1.21343, 6.83831
0.096, 13.1901, 1.26625, 6.85329
0.1, 13.1914, 1.31914, 6.86954
0.104, 13.2217, 1.37506, 6.90131
0.108, 13.1863, 1.42412, 6.90156
0.112, 13.1742, 1.47551, 6.91205
0.116, 13.171, 1.52783, 6.93056
0.12, 13.1541, 1.57849, 6.94045
0.124, 13.1536, 1.63104, 6.96041
0.128, 13.1453, 1.6826, 6.9753
0.132, 13.1349, 1.73381, 6.99187
0.136, 13.1125, 1.7833, 6.99938
0.14, 13.1123, 1.83572, 7.02014
0.144, 13.0907, 1.88506, 7.03117
0.148, 13.0773, 1.93545, 7.04654
0.152, 13.067, 1.98618, 7.06334
0.156, 13.053, 2.03627, 7.07958
0.16, 13.0313, 2.08501, 7.09055
0.164, 13.0141, 2.13431, 7.10546
0.168, 12.9936, 2.18292, 7.11871
0.172, 12.9708, 2.23098, 7.13169
0.176, 12.9412, 2.27765, 7.14063
0.18, 12.9302, 2.32744, 7.16088
0.184, 12.9039, 2.37431, 7.17127
0.188, 12.8731, 2.42014, 7.18137
0.192, 12.8546, 2.46808, 7.19767
0.196, 12.8335, 2.51536, 7.20924
0.2, 12.7949, 2.55897, 7.21613
0.204, 12.7738, 2.60585, 7.22906
0.208, 12.7512, 2.65224, 7.24389
0.212, 12.7113, 2.6948, 7.25112
0.216, 12.6885, 2.74071, 7.26397
0.22, 12.6545, 2.78398, 7.27216
0.224, 12.6332, 2.82984, 7.28645
0.228, 12.5981, 2.87238, 7.29519
0.232, 12.5683, 2.91585, 7.30508
0.236, 12.5371, 2.95876, 7.31525
0.24, 12.5038, 3.00091, 7.32414
0.244, 12.4637, 3.04114, 7.33144
0.248, 12.4391, 3.08489, 7.34345
0.252, 12.3982, 3.12435, 7.34947
0.256, 12.3596, 3.16405, 7.35566
0.26, 12.3346, 3.207, 7.36896
0.264, 12.2976, 3.24657, 7.37553
0.268, 12.2643, 3.28685, 7.38356
0.272, 12.2311, 3.32685, 7.39138
0.276, 12.1927, 3.36519, 7.39743
0.28, 12.1548, 3.40333, 7.40558
0.284, 12.1201, 3.44212, 7.4117
0.288, 12.0787, 3.47865, 7.41883
0.292, 12.0466, 3.5176, 7.42877
0.296, 12.0088, 3.55461, 7.43321
0.3, 11.9745, 3.59234, 7.44079
0.304, 11.9339, 3.62791, 7.44611
0.308, 11.9022, 3.66588, 7.45295
0.312, 11.8522, 3.6979, 7.45362
0.316, 11.8168, 3.73412, 7.46227
0.32, 11.7819, 3.77021, 7.4676
