0.004, 380.579
0.008, 380.474
0.012, 380.525
0.016, 380.107
0.02, 379.694
0.024, 379.266
0.028, 378.829
0.032, 378.354
0.036, 377.801
0.04, 376.915
0.044, 376.402
0.048, 375.41
0.052, 374.508
0.056, 373.624
0.06, 372.784
0.064, 371.884
0.068, 370.564
0.072, 369.216
0.076, 368.119
0.08, 366.675
0.084, 365.321
0.088, 363.909
0.092, 362.301
0.096, 360.753
0.1, 359.119
0.104, 357.457
0.108, 355.518
0.112, 353.791
0.116, 351.731
0.12, 349.83
0.124, 347.799
0.128, 345.881
0.132, 343.699
0.136, 341.795
0.14, 339.764
0.144, 337.585
0.148, 335.427
0.152, 333.306
0.156, 331.067
0.16, 328.947
0.164, 326.702
0.168, 324.462
0.172, 322.152
0.176, 319.879
0.18, 317.534
0.184, 315.326
0.188, 312.941
0.192, 310.631
0.196, 308.619
0.2, 306.179
0.204, 304.079
0.208, 301.764
0.212, 299.284
0.216, 297.154
0.22, 294.898
0.224, 292.756
0.228, 290.437
0.232, 288.281
0.236, 286.056
0.24, 283.846
0.244, 281.466
0.248, 279.439
0.252, 277.151
0.256, 274.964
0.26, 272.867
0.264, 270.749
0.268, 268.701
0.272, 266.679
0.276, 264.577
0.28, 262.353
0.284, 260.43
0.288, 258.153
0.292, 256.097
0.296, 254.191
0.3, 252.224
0.304, 250.16
0.308, 248.376
0.312, 246.251
0.316, 244.215
0.32, 242.427
