Omega, R, OmegaR, RoverD
0.004, 13.1442, 0.0525766, 3.37777
0.008, 13.1431, 0.105145, 3.37797
0.012, 13.1446, 0.157735, 3.37813
0.016, 13.1305, 0.210088, 3.37636
0.02, 13.1417, 0.262834, 3.38107
0.024, 13.145, 0.315481, 3.38383
0.028, 13.1376, 0.367852, 3.38387
0.032, 13.1378, 0.420411, 3.38606
0.036, 13.1473, 0.473302, 3.39097
0.04, 13.1635, 0.526539, 3.39913
0.044, 13.1624, 0.579145, 3.40117
0.048, 13.1595, 0.631657, 3.40492
0.052, 13.163, 0.684478, 3.40993
0.056, 13.1765, 0.737885, 3.41746
0.06, 13.1747, 0.790483, 3.42084
0.064, 13.1806, 0.843558, 3.4265
0.068, 13.1855, 0.896617, 3.43389
0.072, 13.184, 0.94925, 3.43976
0.076, 13.1849, 1.00205, 3.44509
0.08, 13.1824, 1.05459, 3.45124
0.084, 13.1958, 1.10845, 3.46114
0.088, 13.194, 1.16108, 3.46738
0.092, 13.1736, 1.21197, 3.46967
0.096, 13.1836, 1.26563, 3.47976
0.1, 13.1873, 1.31873, 3.48865
0.104, 13.1908, 1.37184, 3.49767
0.108, 13.1734, 1.42272, 3.50256
0.112, 13.1777, 1.47591, 3.51226
0.116, 13.1565, 1.52615, 3.51685
0.12, 13.1537, 1.57845, 3.52566
0.124, 13.1345, 1.62868, 3.53077
0.128, 13.1483, 1.68298, 3.54426
0.132, 13.1327, 1.73351, 3.55127
0.136, 13.1253, 1.78504, 3.55914
0.14, 13.1106, 1.83549, 3.56578
0.144, 13.0947, 1.88563, 3.57292
0.148, 13.0511, 1.93157, 3.57247
0.152, 13.0661, 1.98605, 3.58794
0.156, 13.0496, 2.03574, 3.5955
0.16, 13.0312, 2.08499, 3.60198
0.164, 13.011, 2.13381, 3.60874
0.168, 12.9933, 2.18287, 3.61623
0.172, 12.9646, 2.22992, 3.62118
0.176, 12.9407, 2.27757, 3.62732
0.18, 12.9223, 2.32601, 3.63549
0.184, 12.9026, 2.37408, 3.64264
0.188, 12.863, 2.41824, 3.64528
0.192, 12.855, 2.46816, 3.65653
0.196, 12.831, 2.51488, 3.6616
0.2, 12.7955, 2.5591, 3.66598
0.204, 12.7775, 2.60662, 3.67345
0.208, 12.7476, 2.6515, 3.67887
0.212, 12.7007, 2.69255, 3.6805
0.216, 12.6769, 2.73821, 3.68674
0.22, 12.6649, 2.78629, 3.69732
0.224, 12.6306, 2.82926, 3.70077
0.228, 12.6003, 2.87287, 3.7066
0.232, 12.5635, 2.91473, 3.70956
0.236, 12.5347, 2.95819, 3.71542
0.24, 12.4996, 2.99989, 3.7194
0.244, 12.4637, 3.04113, 3.72437
0.248, 12.4378, 3.08458, 3.7301
0.252, 12.4008, 3.12501, 3.73433
0.256, 12.3583, 3.16372, 3.73628
0.26, 12.3277, 3.2052, 3.74133
0.264, 12.2986, 3.24682, 3.74706
0.268, 12.2645, 3.28688, 3.7509
0.272, 12.2257, 3.32538, 3.75316
0.276, 12.188, 3.36389, 3.75644
0.28, 12.1549, 3.40336, 3.76207
0.284, 12.1089, 3.43891, 3.76164
0.288, 12.0745, 3.47747, 3.76748
0.292, 12.0384, 3.5152, 3.77125
0.296, 12.0027, 3.5528, 3.77415
0.3, 11.9738, 3.59213, 3.7797
0.304, 11.9195, 3.62352, 3.77805
0.308, 11.8917, 3.66265, 3.78277
0.312, 11.8535, 3.6983, 3.78685
0.316, 11.81, 3.73195, 3.78863
0.32, 11.7615, 3.76369, 3.78698
